Executando com 4 tarefas (blocos de colunas), grade 500x500, 5000 gerações...
Tempo interno de execucao: 258.500022 segundos
         2791538 function calls (2791187 primitive calls) in 258.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     31/1    0.000    0.000  258.515  258.515 {built-in method builtins.exec}
        1    0.000    0.000  258.515  258.515 gol_multiprocess.py:1(<module>)
        1    0.002    0.002  258.500  258.500 gol_multiprocess.py:144(main)
        1    0.117    0.117  258.498  258.498 gol_multiprocess.py:79(run_parallel_columns)
       44    0.000    0.000  257.196    5.845 connection.py:253(recv)
       44    0.000    0.000  257.178    5.845 connection.py:447(_recv_bytes)
       88    0.000    0.000  257.177    2.922 connection.py:407(_recv)
      132  257.177    1.948  257.177    1.948 {built-in method posix.read}
       11    0.006    0.001    1.169    0.106 gol_multiprocess.py:5(save_pbm)
     6170    0.498    0.000    1.157    0.000 {method 'join' of 'str' objects}
  2755500    0.659    0.000    0.659    0.000 gol_multiprocess.py:11(<genexpr>)
     49/3    0.000    0.000    0.027    0.009 <frozen importlib._bootstrap>:1360(_find_and_load)
     49/3    0.000    0.000    0.027    0.009 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     47/3    0.000    0.000    0.026    0.009 <frozen importlib._bootstrap>:914(_load_unlocked)
     30/3    0.000    0.000    0.026    0.009 <frozen importlib._bootstrap_external>:753(exec_module)
    112/6    0.000    0.000    0.021    0.004 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
       44    0.018    0.000    0.018    0.000 {built-in method _pickle.loads}
     12/5    0.000    0.000    0.015    0.003 {built-in method builtins.__import__}
     14/7    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap>:1409(_handle_fromlist)
        4    0.000    0.000    0.012    0.003 __init__.py:1(<module>)
        8    0.000    0.000    0.012    0.001 context.py:60(Pipe)
       30    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:826(get_code)
        1    0.000    0.000    0.010    0.010 connection.py:1(<module>)
        1    0.000    0.000    0.010    0.010 context.py:1(<module>)
       30    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:947(get_data)
        1    0.000    0.000    0.007    0.007 reduction.py:1(<module>)
        1    0.000    0.000    0.006    0.006 tempfile.py:1(<module>)
       30    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
     5511    0.004    0.000    0.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        7    0.001    0.000    0.004    0.001 enum.py:880(_convert_)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       49    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
       30    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
       30    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
        4    0.000    0.000    0.003    0.001 process.py:110(start)
      113    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
       36    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
        4    0.000    0.000    0.003    0.001 context.py:228(_Popen)
       36    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
        4    0.000    0.000    0.003    0.001 context.py:284(_Popen)
       98    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
       47    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
        4    0.000    0.000    0.002    0.000 popen_fork.py:16(__init__)
        4    0.000    0.000    0.002    0.000 popen_fork.py:66(_launch)
        7    0.001    0.000    0.002    0.000 enum.py:1740(convert_class)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
        4    0.001    0.000    0.001    0.000 {built-in method posix.fork}
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
       44    0.000    0.000    0.001    0.000 connection.py:209(send)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1051(create_module)
        4    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 process.py:1(<module>)
       11    0.001    0.000    0.001    0.000 {built-in method _io.open}
  233/204    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0xa99760}
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(__enter__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      602    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       63    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
       41    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       10    0.000    0.000    0.001    0.000 enum.py:480(__new__)
       44    0.000    0.000    0.001    0.000 reduction.py:48(dumps)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
      186    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1000(exec_module)
       13    0.000    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
