Executando com 4 tarefas (blocos de colunas), grade 500x500, 5000 gerações...
Tempo interno de execucao: 256.656799 segundos
         2791548 function calls (2791197 primitive calls) in 256.665 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     31/1    0.000    0.000  256.665  256.665 {built-in method builtins.exec}
        1    0.000    0.000  256.665  256.665 gol_multiprocess.py:1(<module>)
        1    0.001    0.001  256.657  256.657 gol_multiprocess.py:144(main)
        1    0.128    0.128  256.655  256.655 gol_multiprocess.py:79(run_parallel_columns)
       44    0.000    0.000  255.340    5.803 connection.py:253(recv)
       44    0.000    0.000  255.321    5.803 connection.py:447(_recv_bytes)
       88    0.000    0.000  255.321    2.901 connection.py:407(_recv)
      132  255.320    1.934  255.320    1.934 {built-in method posix.read}
       11    0.006    0.001    1.173    0.107 gol_multiprocess.py:5(save_pbm)
     6171    0.492    0.000    1.156    0.000 {method 'join' of 'str' objects}
  2755500    0.664    0.000    0.664    0.000 gol_multiprocess.py:11(<genexpr>)
       44    0.019    0.000    0.019    0.000 {built-in method _pickle.loads}
     49/3    0.000    0.000    0.019    0.006 <frozen importlib._bootstrap>:1360(_find_and_load)
     49/3    0.000    0.000    0.019    0.006 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     47/3    0.000    0.000    0.018    0.006 <frozen importlib._bootstrap>:914(_load_unlocked)
     30/3    0.000    0.000    0.018    0.006 <frozen importlib._bootstrap_external>:753(exec_module)
    112/6    0.000    0.000    0.017    0.003 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
     12/5    0.000    0.000    0.012    0.002 {built-in method builtins.__import__}
     14/7    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap>:1409(_handle_fromlist)
        8    0.000    0.000    0.011    0.001 context.py:60(Pipe)
        1    0.000    0.000    0.009    0.009 connection.py:1(<module>)
        4    0.000    0.000    0.009    0.002 __init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 context.py:1(<module>)
        1    0.000    0.000    0.006    0.006 tempfile.py:1(<module>)
       41    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.005    0.005 reduction.py:1(<module>)
       30    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:826(get_code)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
     5511    0.004    0.000    0.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       49    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
        7    0.001    0.000    0.003    0.000 enum.py:880(_convert_)
       30    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
       30    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      113    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
       36    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
       36    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
        4    0.000    0.000    0.002    0.001 process.py:110(start)
       98    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
        4    0.000    0.000    0.002    0.000 context.py:228(_Popen)
        4    0.000    0.000    0.002    0.000 context.py:284(_Popen)
        4    0.000    0.000    0.002    0.000 popen_fork.py:16(__init__)
        4    0.000    0.000    0.001    0.000 popen_fork.py:66(_launch)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
       11    0.001    0.000    0.001    0.000 {built-in method _io.open}
        7    0.001    0.000    0.001    0.000 enum.py:1740(convert_class)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
       44    0.000    0.000    0.001    0.000 connection.py:209(send)
        4    0.001    0.000    0.001    0.000 {built-in method posix.fork}
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 process.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
  233/204    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0xa99760}
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:947(get_data)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(__enter__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       63    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
       44    0.000    0.000    0.001    0.000 reduction.py:48(dumps)
       10    0.000    0.000    0.001    0.000 enum.py:480(__new__)
      603    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      188    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
      188    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      132    0.001    0.000    0.001    0.000 {method 'write' of '_io.BytesIO' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1051(create_module)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
       29    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       44    0.000    0.000    0.000    0.000 connection.py:424(_send_bytes)
       44    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:635(cached)
       30    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(exec_module)
       29    0.000    0.000    0.000    0.000 enum.py:239(__set_name__)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       30    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       51    0.000    0.000    0.000    0.000 enum.py:342(__setitem__)
      516    0.000    0.000    0.000    0.000 socket.py:96(<lambda>)
      515    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
     2240    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       44    0.000    0.000    0.000    0.000 connection.py:398(_send)
      514    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      513    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 __init__.py:287(compile)
